Latitude, Longitude
37.8007983983, -122.4368696024
37.8005223990, -122.4380665996
37.8005888005, -122.4385250003
37.8000532974, -122.4099854023
37.8000875012, -122.4100349003
37.7768775978, -122.4235122015
37.7768342019, -122.4238470026
37.7939895996, -122.4087761004
37.8015414988, -122.4015675017
37.7988029064, -122.4010146148
37.7765466020, -122.4251310990
37.8000210998, -122.4393882022
37.7994166025, -122.4411103984
37.7995750987, -122.4411433001
37.7717493986, -122.4089402013
37.7712515973, -122.4083153025
37.7711418000, -122.4081772973
37.7594359972, -122.4349649993
37.7999169060, -122.4014009144
37.7751654991, -122.4227178988
37.7841032007, -122.4395281018
37.7725928974, -122.4124028997
37.7721761995, -122.4121734981
37.7717347973, -122.4113273003
37.7752006975, -122.4217100979
37.7740742982, -122.4220675972
37.7808611979, -122.4223038999
37.7983791017, -122.4358185006
37.7703797006, -122.4099213981
37.7985614025, -122.4005555992
37.7982882028, -122.4027095974
37.7807270986, -122.4233570022
37.7807172974, -122.4234334004
37.7812737998, -122.4616682005
37.7702133980, -122.4069567022
37.7980187972, -122.4060832017
37.7916949027, -122.4344691985
37.8003767998, -122.4377752000
37.7924254023, -122.4202973002
37.7923481994, -122.4217525997
37.7898570978, -122.4334404987
37.7489981026, -122.4196167008
37.7483048019, -122.4164395013
37.7872291979, -122.4335697980
37.7878231005, -122.4335535986
37.7445165002, -122.4529816990
37.7822170992, -122.4503799004
37.7821447019, -122.4509488025
37.7715027024, -122.4169430022
37.7712909979, -122.4170723015
37.7869268012, -122.4186151975
37.7816058014, -122.4120548998
37.7816558023, -122.4120653995
37.8024343045, -122.4017384145
37.7812658985, -122.4557939002
37.7702818000, -122.4175173973
37.7729074982, -122.4159396996
37.7975428001, -122.4221693982
37.7991117974, -122.4223294982
37.7986843985, -122.4071348009
37.7754903984, -122.4210994986
37.7799963978, -122.4215430019
37.7781881028, -122.4207701010
37.7782731009, -122.3995382988
37.7514411983, -122.4325554983
37.7514372979, -122.4326203016
37.7827960987, -122.4693425984
37.7634943024, -122.4834993982
37.7514230990, -122.4328560007
37.7513078981, -122.4329388977
37.7880392977, -122.3880917986
37.7862141997, -122.3881423973
37.7856422019, -122.3881882016
37.7827009977, -122.4714017024
37.7821897016, -122.4825567973
37.7820263998, -122.4832449013
37.7833258015, -122.3896457029
37.7831133985, -122.3893743024
37.7829457995, -122.3891631008
37.7823675991, -122.4787110013
37.7592191015, -122.4352420994
37.7618194026, -122.4349838027
37.7618197993, -122.4351868012
37.7918409993, -122.3911058974
37.7824448020, -122.4644566977
37.7823618994, -122.4788331983
37.7805379023, -122.4816114975
37.7606144984, -122.4360402969
37.7809914024, -122.3886524026
37.7804388002, -122.4825434980
37.7804485009, -122.4846730994
37.7797633977, -122.4867894014
37.7796672013, -122.4878553001
37.7808659979, -122.4750507974
37.7670777001, -122.4290175025
37.7692113974, -122.4221937002
37.7684504994, -122.4179650021
37.7879974999, -122.3885005002
37.7800784008, -122.4782124010
37.7911522024, -122.3907039014
37.7904266984, -122.3891914987
37.7828906019, -122.4640490019
37.7758168009, -122.4935967976
37.7837839005, -122.3897781984
37.8009102018, -122.3993977007
37.7870257021, -122.4480204002
37.7757631008, -122.4977818986
37.8027147026, -122.4009934978
37.8029773020, -122.4012286996
37.7892824010, -122.3880240002
37.7884178021, -122.3877260012
37.7755758994, -122.4988677015
37.7542857983, -122.4786947013
37.7539558028, -122.4796079991
37.7812848025, -122.4632971005
37.7753818975, -122.4379877986
37.7994245988, -122.4223926977
37.7816415978, -122.4567333997
37.7888044984, -122.4204067008
37.7762285982, -122.4381639023
37.7941692014, -122.4207812992
37.7941406024, -122.4210071021
37.7887504016, -122.4343980977
37.8002858003, -122.4399348979
37.8000879985, -122.4414927026
37.8064538975, -122.4225442984
37.8077003983, -122.4126988982
37.8071601008, -122.4138435979
37.8066154000, -122.4194943027
37.8063027998, -122.4221013987
37.8075072010, -122.4123664999
37.8065638010, -122.4154062026
37.8066257992, -122.4154185017
37.8076032017, -122.4156151020
37.8056561024, -122.4127288998
37.8053415016, -122.4164394007
37.8060177983, -122.4136084017
37.8058325023, -122.4152557028
37.7814555072, -122.3927176148
37.7929673986, -122.4023346973
37.7867430978, -122.4050872025
37.8047885978, -122.4034191982
37.7811483004, -122.4695887023
37.7822024980, -122.4653731973
37.7631097016, -122.4597338976
37.7113889719, -122.4049661977
37.7831089002, -122.4675820020
37.7651971978, -122.4663223976
37.7633325987, -122.4661816989
37.7631028005, -122.4661657007
37.7390315001, -122.4156334975
37.7388540999, -122.4149419011
37.8007170995, -122.3998888020
37.7820652750, -122.4675064308
37.7636850019, -122.4783020986
37.7345667005, -122.4340787974
37.7340769012, -122.4340713990
37.7340631996, -122.4339121987
37.7827688017, -122.4666965993
37.7873140004, -122.4534146020
37.7634547007, -122.4811771025
37.7116607976, -122.4050737021
37.7821293016, -122.4488415976
37.7820813012, -122.4492842012
37.7823064000, -122.4496788995
37.7632786975, -122.4820516982
37.7448716023, -122.4526699984
37.7828962010, -122.4671609008
37.7827136991, -122.4679005982
37.7636333023, -122.4792088026
37.7631756001, -122.4825617985
37.7879197997, -122.4193208979
37.7812723973, -122.4556469989
37.7842100979, -122.4324773007
